time	社会消费品零售总额
1990M01	657.6
1990M02	576.4
1990M03	576.8
1990M04	562
1990M05	573.2
1990M06	573.8
1990M07	554.2999999999999
1990M08	562.2000000000001
1990M09	612.1
1990M10	618.8
1990M11	644
1990M12	739.1
1991M01	714.4
1991M02	709.9
1991M03	647.5
1991M04	653.9
1991M05	639
1991M06	646.5
1991M07	625
1991M08	635.3
1991M09	695.7
1991M10	707.8
1991M11	737.2
1991M12	833.5
1992M01	806.7
1992M02	813.2
1992M03	773.6
1992M04	719.8
1992M05	730
1992M06	757.7
1992M07	740.8
1992M08	753.9
1992M09	829.8
1992M10	850.2
1992M11	883.3
1992M12	1045.8
1993M01	1002.1
1993M02	915.4
1993M03	966.4
1993M04	964.9
1993M05	976.6
1993M06	1020.8
1993M07	978.4
1993M08	974.5
1993M09	1039.1
1993M10	1067
1993M11	1119.1
1993M12	1437.8
1994M01	1208.5
1994M02	1178.1
1994M03	1183
1994M04	1185.9
1994M05	1229.8
1994M06	1298.1
1994M07	1268.1
1994M08	1303.1
1994M09	1414.7
1994M10	1463.2
1994M11	1574.4
1994M12	1957.8
1995M01	1608.3
1995M02	1505.3
1995M03	1546.5
1995M04	1546.5
1995M05	1587.7
1995M06	1649.6
1995M07	1629
1995M08	1649.6
1995M09	1773.3
1995M10	1814.6
1995M11	1938.3
1995M12	2371.3
1996M01	1924.5
1996M02	1926.7
1996M03	1875.2
1996M04	1869.8
1996M05	1913.7
1996M06	1981.9
1996M07	1904
1996M08	1931.9
1996M09	2100.4
1996M10	2165.7
1996M11	2308.6
1996M12	2871.7
1997M01	2302.1
1997M02	2226.6
1997M03	2143.6
1997M04	2113
1997M05	2120.7
1997M06	2177.6
1997M07	2115
1997M08	2116.9
1997M09	2253
1997M10	2361.9
1997M11	2469.5
1997M12	2899
1998M01	2514.7
1998M02	2296.1
1998M03	2271.4
1998M04	2229.7
1998M05	2245
1998M06	2304.4
1998M07	2254.1
1998M08	2274.4
1998M09	2443.1
1998M10	2536
1998M11	2652.2
1998M12	3131.4
1999M01	2662.1
1999M02	2538.4
1999M03	2403.1
1999M04	2356.8
1999M05	2364
1999M06	2428.8
1999M07	2380.3
1999M08	2410.9
1999M09	2604.3
1999M10	2743.9
1999M11	2859.1
1999M12	3383
2000M01	2962.9
2000M02	2804.9
2000M03	2626.6
2000M04	2571.5
2000M05	2636.9
2000M06	2645.2
2000M07	2596.9
2000M08	2636.3
2000M09	2854.3
2000M10	3029.3
2000M11	3107.8
2000M12	3680
2001M01	2962.9
2001M02	3047.1
2001M03	2876.1
2001M04	2820.9
2001M05	2929.6
2001M06	2908.7
2001M07	2851.4
2001M08	2889.4
2001M09	3136.9
2001M10	3347.3
2001M11	3421.7
2001M12	4033.3
2002M01	3596.1
2002M02	3324.4
2002M03	3114.8
2002M04	3052.2
2002M05	3202.1
2002M06	3158.8
2002M07	3096.6
2002M08	3143.7
2002M09	3422.4
2002M10	3661.9
2002M11	3733.1
2002M12	4404.399999999999
2003M01	3907.4
2003M02	3706.4
2003M03	3494.8
2003M04	3406.9
2003M05	3463.3
2003M06	3576.9
2003M07	3562.1
2003M08	3609.6
2003M09	3971.8
2003M10	4204.399999999999
2003M11	4202.7
2003M12	4735.7
2004M01	4569.399999999999
2004M02	4211.399999999999
2004M03	4049.8
2004M04	4001.8
2004M05	4166.100000000001
2004M06	4250.7
2004M07	4209.2
2004M08	4262.7
2004M09	4717.7
2004M10	4983.2
2004M11	4965.600000000001
2004M12	5562.5
2005M01	5300.899999999999
2005M02	5012.2
2005M03	4799.100000000001
2005M04	4663.3
2005M05	4899.2
2005M06	4935
2005M07	4934.899999999999
2005M08	5040.8
2005M09	5495.2
2005M10	5846.6
2005M11	5909
2005M12	6850.4
2006M01	6641.6
2006M02	6001.9
2006M03	5796.7
2006M04	5774.6
2006M05	6175.6
2006M06	6057.8
2006M07	6012.2
2006M08	6077.4
2006M09	6553.6
2006M10	6997.7
2006M11	6821.7
2006M12	7499.2
2007M01	7488.3
2007M02	7013.7
2007M03	6685.8
2007M04	6672.5
2007M05	7157.5
2007M06	7026
2007M07	6998.2
2007M08	7116.6
2007M09	7668.4
2007M10	8263
2007M11	8104.7
2007M12	9015.299999999999
2008M01	9077.299999999999
2008M02	8354.700000000001
2008M03	8123.2
2008M04	8142
2008M05	8703.5
2008M06	8642
2008M07	8628.799999999999
2008M08	8767.700000000001
2008M09	9446.5
2008M10	10082.7
2008M11	9790.799999999999
2008M12	10728.5
2009M01	10756.6
2009M02	9323.799999999999
2009M03	9317.6
2009M04	9343.200000000001
2009M05	10028.4
2009M06	9941.6
2009M07	9936.5
2009M08	10115.6
2009M09	10912.8
2009M10	11717.6
2009M11	11339
2009M12	12610
2010M01	12718.1
2010M02	12334.2
2010M03	11321.7
2010M04	11510.4
2010M05	12455.1
2010M06	12329.9
2010M07	12252.8
2010M08	12569.8
2010M09	13536.5
2010M10	14284.8
2010M11	13910.9
2010M12	15329.5
2011M01	15249
2011M02	13769.1
2011M03	13588
2011M04	13649
2011M05	14696.8
2011M06	14565.1
2011M07	14408
2011M08	14705
2011M09	15865.1
2011M10	16546.4
2011M11	16128.9
2011M12	17739.7
