Ê±¼ä	cpi	ppi
1996-10	107	100.3
1996-11	106.9	100
1996-12	107	100.4
1997-01	105.9	100.1
1997-02	105.6	100.4
1997-03	104	100.5
1997-04	103.2	100.1
1997-05	102.8	100.1
1997-06	102.8	99.6
1997-07	102.7	99.4
1997-08	101.9	99.1
1997-09	101.8	99.1
1997-10	101.5	99.1
1997-11	101.1	99.4
1997-12	100.4	99.1
1998-01	100.3	98.7
1998-02	99.9	97.4
1998-03	100.7	96.8
1998-04	99.7	96.3
1998-05	99	95.5
1998-06	98.7	95.1
1998-07	98.6	95
1998-08	98.6	94.5
1998-09	98.5	95.8
1998-10	98.9	94.3
1998-11	98.8	94.6
1998-12	99	96.2
1999-01	98.8	95.1
1999-02	98.7	95.1
1999-03	98.2	95.4
1999-04	97.8	96.1
1999-05	97.8	96.6
1999-06	97.9	96.4
1999-07	98.6	97.5
1999-08	98.7	97.7
1999-09	99.2	97.9
1999-10	99.4	99.3
1999-11	99.1	98.9
1999-12	99	99.2
2000-01	99.8	100
2000-02	100.7	101
2000-03	99.8	101.9
2000-04	99.7	102.6
2000-05	100.1	102.5
2000-06	100.5	102.9
2000-07	100.5	104.5
2000-08	100.3	103.9
2000-09	100	103.7
2000-10	100	103.6
2000-11	101.3	103.5
2000-12	101.5	102.8
2001-01	101.2	101.4
2001-02	100	100.9
2001-03	100.8	100.2
2001-04	101.6	99.9
2001-05	101.7	99.8
2001-06	101.4	99.4
2001-07	101.5	98.7
2001-08	101	98
2001-09	99.9	97.1
2001-10	100.2	96.9
2001-11	99.7	96.3
2001-12	99.7	96
2002-01	99	96
2002-02	100	95.9
2002-03	99.2	96
2002-04	98.7	96.9
2002-05	98.9	97.4
2002-06	99.2	97.5
2002-07	99.1	97.7
2002-08	99.3	98.3
2002-09	99.3	98.6
2002-10	99.2	99
2002-11	99.3	99.6
2002-12	99.6	100.4
2003-01	100.4	102.4
2003-02	100.2	104
2003-03	100.9	104.6
2003-04	101	103.6
2003-05	100.7	102
2003-06	100.3	101.3
2003-07	100.5	101.4
2003-08	100.9	101.4
2003-09	101.1	101.4
2003-10	101.8	101.2
2003-11	103	101.9
2003-12	103.2	103
2004-01	103.2	103.5
2004-02	102.1	103.5
2004-03	103	104
2004-04	103.8	105
2004-05	104.4	105.7
2004-06	105	106.4
2004-07	105.3	106.4
2004-08	105.3	106.8
2004-09	105.2	108
2004-10	104.3	108.4
2004-11	102.8	108.1
2004-12	102.4	107.1
2005-01	101.9	105.8
2005-02	103.9	105.4
2005-03	102.7	105.6
2005-04	101.8	105.8
2005-05	101.8	106
2005-06	101.6	105.2
2005-07	101.8	105.2
2005-08	101.3	105.3
2005-09	100.9	104.5
2005-10	101.2	104
2005-11	101.3	103.2
2005-12	101.6	103.2
2006-01	101.9	103.1
2006-02	100.9	103
2006-03	100.8	102.5
2006-04	101.2	101.9
2006-05	101.4	102.4
2006-06	101.5	103.5
2006-07	101	103.6
2006-08	101.3	103.4
2006-09	101.5	103.5
2006-10	101.4	103
2006-11	101.9	102.8
2006-12	102.8	103.1
2007-01	102.2	103.3
2007-02	102.7	102.6
2007-03	103.3	102.7
2007-04	103	102.9
2007-05	103.4	102.8
2007-06	104.4	102.5
2007-07	105.6	102.4
2007-08	106.5	102.6
2007-09	106.2	102.7
2007-10	106.5	103.2
2007-11	106.9	104.6
2007-12	106.5	105.4
2008-01	107.1	106.1
2008-02	108.7	106.6
2008-03	108.3	108
2008-04	108.5	108.1
2008-05	107.7	108.2
2008-06	107.1	108.8
2008-07	106.3	110
2008-08	104.9	110.1
2008-09	104.6	109.1
2008-10	104	106.6
2008-11	102.4	102
2008-12	101.2	98.9
2009-01	101	96.7
2009-02	98.4	95.5
2009-03	98.8	94
2009-04	98.5	93.4
2009-05	98.6	92.8
2009-06	98.3	92.2
2009-07	98.2	91.8
2009-08	98.8	92.1
2009-09	99.2	93
2009-10	99.5	94.2
2009-11	100.6	97.9
2009-12	101.9	101.7
2010-01	101.5	104.3
2010-02	102.7	105.4
2010-03	102.4	105.9
2010-04	102.8	106.8
2010-05	103.1	107.1
2010-06	102.9	106.4
2010-07	103.3	104.8
2010-08	103.5	104.3
2010-09	103.6	104.3
2010-10	104.4	105
2010-11	105.1	106.1
2010-12	104.6	105.9
2011-01	104.9	106.6
2011-02	104.9	107.2
2011-03	105.4	107.3
2011-04	105.3	106.8
2011-05	105.5	106.8
2011-06	106.4	107.1
2011-07	106.5	107.5
2011-08	106.2	107.3
2011-09	106.1	106.5
2011-10	105.5	105
2011-11	104.2	102.7
2011-12	104.1	101.7
2012-01	104.5	100.7
2012-02	103.2	100
2012-03	103.6	99.7
2012-04	103.4	99.3
2012-05	103	98.6
2012-06	102.2	97.9
2012-07	101.8	97.1
2012-08	102	96.5
2012-09	101.9	96.4
2012-10	101.7	97.2
2012-11	102	97.8
2012-12	102.5	98.1
2013-01	102	98.4
2013-02	103.2	98.4
2013-03	102.1	98.1
2013-04	102.4	97.4
2013-05	102.1	97.1
2013-06	102.7	97.3
2013-07	102.7	97.7
2013-08	102.6	98.4
2013-09	103.1	98.7
2013-10	103.2	98.5
2013-11	103	98.6
2013-12	102.5	98.6
2014-01	102.5	98.4
2014-02	102	98
2014-03	102.4	97.7
2014-04	101.8	98
2014-05	102.5	98.6
2014-06	102.3	98.9
2014-07	102.3	99.1
2014-08	102	98.8
2014-09	101.6	98.2
2014-10	101.6	97.8
2014-11	101.4	97.3
2014-12	101.5	96.7
