time	Êµ¼ÊGDP(1978=100)
1978	3645.22
1979	3922.25672
1980	4228.455200000001
1981	4447.168399999999
1982	4859.07826
1983	5402.21604
1984	6226.03576
1985	7049.85548
1986	7651.31678
1987	8533.46002
1988	9499.44332
1989	9893.12708
1990	10297.7465
1991	11234.56804
1992	12812.9483
1993	14566.29912
1994	16476.3944
1995	18014.67724
1996	19848.2229
1997	21758.31818
1998	23351.27932
1999	25206.6963
2000	27361.02132
2001	29566.37942
2002	32387.7797
2003	35781.47952
2004	39532.4109
2005	43804.60874000001
2006	49618.73464
2007	56883.6581
2008	62617.58916
2009	67841.18942
2010	74727.01
2011	81248.30858
2012	88101.32218
2013	94633.55641999999
